ACC,AUC,F-1,MCC,Prec,Sens,Spec,Thres
0.631578947368421,0.6911290322580645,0.24096385542168672,0.1534761044358091,0.14925373134328357,0.625,0.632258064516129,0.24556233585790893
0.5847953216374269,0.580241935483871,0.20224719101123595,0.0880792486531609,0.1232876712328767,0.5625,0.5870967741935483,0.2100372853665898
0.7894736842105263,0.7298387096774194,0.35714285714285715,0.296819407468727,0.25,0.625,0.8064516129032258,0.2594925555450934
0.7777777777777778,0.730241935483871,0.3448275862068965,0.2831731114326957,0.23809523809523808,0.625,0.7935483870967742,0.24716441284611898
0.6900584795321637,0.7429335370511841,0.3116883116883117,0.24714837629620254,0.2,0.7058823529411765,0.6883116883116883,0.24398810230725348
0.6257309941520468,0.6891129032258064,0.2558139534883721,0.18173940817406756,0.15714285714285714,0.6875,0.6193548387096774,0.2331352856300439
0.7485380116959064,0.6774193548387096,0.2711864406779661,0.18405340641809248,0.18604651162790697,0.5,0.7741935483870968,0.24555117076195535
0.7251461988304093,0.7758064516129033,0.3561643835616438,0.32657805469206225,0.22807017543859648,0.8125,0.7161290322580646,0.26245846360208375
0.6257309941520468,0.6862903225806452,0.2558139534883721,0.18173940817406756,0.15714285714285714,0.6875,0.6193548387096774,0.22608077675899788
0.8304093567251462,0.6398013750954927,0.3255813953488372,0.24032085222416072,0.2692307692307692,0.4117647058823529,0.8766233766233766,0.258028112726638
0.8771929824561403,0.5838709677419355,0.2222222222222222,0.16130496176233874,0.2727272727272727,0.1875,0.9483870967741935,0.2865148412940801
0.6257309941520468,0.5249999999999999,0.2,0.0834739041503577,0.125,0.5,0.6387096774193548,0.2165857028592342
0.8128654970760234,0.707258064516129,0.3043478260869565,0.22137222571911608,0.23333333333333334,0.4375,0.8516129032258064,0.28575592284407625
0.6257309941520468,0.6375,0.2380952380952381,0.14924214266689198,0.14705882352941177,0.625,0.6258064516129033,0.21524986566178353
0.847953216374269,0.6107715813598166,0.31578947368421056,0.23296250082907163,0.2857142857142857,0.35294117647058826,0.9025974025974026,0.309275237920515
0.6842105263157895,0.7298387096774194,0.2894736842105263,0.22661918596843778,0.18333333333333332,0.6875,0.6838709677419355,0.2420523433281367
0.7426900584795322,0.6056451612903226,0.24137931034482757,0.1432233945107565,0.16666666666666666,0.4375,0.7741935483870968,0.2629281550307374
0.5321637426900585,0.6173387096774193,0.21568627450980393,0.11860605180745173,0.12790697674418605,0.6875,0.5161290322580645,0.1946464541753594
0.6432748538011696,0.659274193548387,0.2469135802469136,0.1620837034541655,0.15384615384615385,0.625,0.6451612903225806,0.2328808585992978
0.8245614035087719,0.7799847211611918,0.39999999999999997,0.33276580700165076,0.30303030303030304,0.5882352941176471,0.8506493506493507,0.2491979306023525
0.29239766081871343,0.5705645161290323,0.19867549668874168,0.11665706565717285,0.1111111111111111,0.9375,0.22580645161290322,0.17544296630093567
0.7309941520467836,0.6483870967741935,0.25806451612903225,0.16736217666103084,0.17391304347826086,0.5,0.7548387096774194,0.2382839677742387
0.49707602339181284,0.7012096774193548,0.23214285714285712,0.1625790750532223,0.13541666666666666,0.8125,0.4645161290322581,0.21797099968334663
0.8713450292397661,0.6520161290322581,0.3125,0.24153225806451614,0.3125,0.3125,0.9290322580645162,0.29813206990523394
0.4444444444444444,0.5603514132925898,0.20168067226890757,0.07408284763427396,0.11764705882352941,0.7058823529411765,0.4155844155844156,0.20987368292265599
0.7660818713450293,0.6705645161290322,0.28571428571428575,0.2019481576048909,0.2,0.5,0.7935483870967742,0.27208910683514304
0.5964912280701754,0.6995967741935484,0.25806451612903225,0.1935435588745518,0.15584415584415584,0.75,0.5806451612903226,0.23601139418995343
0.5672514619883041,0.694758064516129,0.24489795918367344,0.17394179592951298,0.14634146341463414,0.75,0.5483870967741935,0.23470011757666823
0.49707602339181284,0.5479838709677419,0.20370370370370372,0.09633631019907674,0.11956521739130435,0.6875,0.4774193548387097,0.23259478487673213
0.9122807017543859,0.6669213139801375,0.3478260869565218,0.36151020901821096,0.6666666666666666,0.23529411764705882,0.987012987012987,0.3227762232920916
0.8011695906432749,0.6826612903225807,0.31999999999999995,0.24243852281924516,0.23529411764705882,0.5,0.832258064516129,0.2647983507741922
0.5087719298245614,0.5955645161290323,0.20754716981132074,0.10371677038348892,0.12222222222222222,0.6875,0.49032258064516127,0.19157620038458512
0.30994152046783624,0.5713709677419355,0.20270270270270271,0.12678068457221725,0.11363636363636363,0.9375,0.24516129032258063,0.18915531729547988
0.7660818713450293,0.7153225806451614,0.31034482758620685,0.2365232057920493,0.21428571428571427,0.5625,0.7870967741935484,0.28671953254197996
0.8538011695906432,0.6321619556913675,0.28571428571428575,0.20445868129523279,0.2777777777777778,0.29411764705882354,0.9155844155844156,0.2972982372580857
0.7134502923976608,0.692741935483871,0.2898550724637681,0.2188781891307852,0.18867924528301888,0.625,0.7225806451612903,0.25331068952585006
0.5730994152046783,0.5923387096774194,0.23157894736842105,0.14532885915117444,0.13924050632911392,0.6875,0.5612903225806452,0.21222230757177896
0.7602339181286549,0.7584677419354839,0.3492063492063492,0.296967094547313,0.23404255319148937,0.6875,0.7677419354838709,0.24725850398457852
0.8011695906432749,0.6665322580645161,0.31999999999999995,0.24243852281924516,0.23529411764705882,0.5,0.832258064516129,0.2690151442543227
0.5146198830409356,0.6669213139801374,0.25225225225225223,0.18286010181528284,0.14893617021276595,0.8235294117647058,0.4805194805194805,0.23180658170559623
0.6374269005847953,0.7274193548387096,0.2619047619047619,0.19027173494348126,0.16176470588235295,0.6875,0.632258064516129,0.25860530055512543
0.7719298245614035,0.7173387096774193,0.3157894736842105,0.24286853808790318,0.21951219512195122,0.5625,0.7935483870967742,0.21341206242333738
0.7134502923976608,0.6939516129032258,0.2898550724637681,0.2188781891307852,0.18867924528301888,0.625,0.7225806451612903,0.26084543324083254
0.6081871345029239,0.7133064516129033,0.26373626373626374,0.201626451157708,0.16,0.75,0.5935483870967742,0.24999826806928557
0.6491228070175439,0.6237585943468297,0.25,0.1514027921995849,0.15873015873015872,0.5882352941176471,0.6558441558441559,0.24449036476871855
0.8362573099415205,0.7157258064516129,0.33333333333333337,0.25541977521853626,0.2692307692307692,0.4375,0.8774193548387097,0.2669343355600957
0.3684210526315789,0.6919354838709677,0.21739130434782608,0.15920499107888836,0.12295081967213115,0.9375,0.3096774193548387,0.200763021722708
0.695906432748538,0.652016129032258,0.2777777777777778,0.20368339762396384,0.17857142857142858,0.625,0.7032258064516129,0.26084737478810077
0.695906432748538,0.7225806451612904,0.2777777777777778,0.20368339762396384,0.17857142857142858,0.625,0.7032258064516129,0.23233782964283678
0.672514619883041,0.6054239877769291,0.24324324324324326,0.13819749820569552,0.15789473684210525,0.5294117647058824,0.6883116883116883,0.23523474285209245
