ANOVA-ANN,ANOVA-LR,ANOVA-RF,ANOVA-SVM,KPCA-ANN,KPCA-LR,KPCA-RF,KPCA-SVM,PCA-ANN,PCA-LR,PCA-RF,PCA-SVM
0.6995967741935484,0.7786290322580645,0.7935483870967742,0.8020161290322579,0.7225806451612903,0.7713709677419355,0.6911290322580645,0.8254032258064516,0.7084677419354839,0.7495967741935484,0.7084677419354839,0.7290322580645161
0.6161290322580646,0.6217741935483871,0.6133064516129032,0.625,0.5693548387096774,0.5709677419354838,0.5802419354838709,0.5935483870967743,0.5891129032258065,0.5600806451612903,0.6806451612903226,0.5911290322580645
0.6991935483870968,0.7112903225806452,0.6975806451612904,0.7205645161290323,0.6931451612903226,0.6963709677419355,0.7298387096774194,0.7104838709677419,0.7350806451612903,0.6814516129032258,0.665725806451613,0.7157258064516129
0.6616935483870968,0.7431451612903226,0.7322580645161291,0.7157258064516129,0.7616935483870967,0.7354838709677419,0.730241935483871,0.7298387096774194,0.6858870967741935,0.7596774193548387,0.7004032258064516,0.6701612903225806
0.7482811306340718,0.7475171886936594,0.7184873949579831,0.7368220015278839,0.6902215431627197,0.7150496562261268,0.7429335370511841,0.7020626432391138,0.6283422459893049,0.754392666157372,0.6252864782276546,0.6669213139801375
0.7814516129032258,0.6943548387096775,0.6870967741935483,0.6810483870967742,0.7685483870967743,0.6979838709677421,0.6891129032258064,0.6584677419354837,0.730241935483871,0.6923387096774193,0.6100806451612903,0.6637096774193548
0.5778225806451613,0.6108870967741935,0.619758064516129,0.6225806451612903,0.5802419354838709,0.6000000000000001,0.6774193548387096,0.6209677419354839,0.6133064516129032,0.644758064516129,0.6258064516129033,0.6056451612903224
0.6548387096774193,0.8020161290322579,0.7717741935483872,0.8189516129032258,0.7197580645161291,0.7592741935483871,0.7758064516129033,0.7875000000000001,0.6245967741935484,0.7274193548387098,0.7241935483870967,0.7725806451612903
0.7189516129032258,0.7463709677419356,0.7532258064516129,0.7471774193548387,0.6778225806451612,0.7056451612903225,0.6862903225806452,0.7362903225806451,0.6911290322580645,0.7028225806451613,0.7217741935483871,0.7149193548387097
0.6695951107715813,0.6860198624904507,0.6951871657754011,0.6978609625668449,0.6302521008403361,0.687929717341482,0.6398013750954927,0.7215431627196334,0.5359052711993888,0.6783804430863254,0.6688311688311688,0.6699770817417876
0.6479838709677419,0.6068548387096774,0.592741935483871,0.6157258064516129,0.5939516129032258,0.5665322580645161,0.5838709677419355,0.6149193548387096,0.6024193548387096,0.6080645161290322,0.6536290322580645,0.6233870967741936
0.7838709677419355,0.7209677419354839,0.7104838709677419,0.7483870967741936,0.6427419354838709,0.6947580645161291,0.5249999999999999,0.6895161290322581,0.6459677419354839,0.6620967741935484,0.6850806451612903,0.6854838709677421
