ACC,AUC,F-1,MCC,Prec,Sens,Spec,Thres
0.9005847953216374,0.6995967741935484,0.41379310344827586,0.362432590862418,0.46153846153846156,0.375,0.9548387096774194,0.7145752989787745
0.5087719298245614,0.6161290322580646,0.20754716981132074,0.10371677038348892,0.12222222222222222,0.6875,0.49032258064516127,0.17128596710827002
0.5555555555555556,0.6991935483870968,0.24,0.16630608804653296,0.14285714285714285,0.75,0.535483870967742,0.25672022458214633
0.6608187134502924,0.6616935483870968,0.23684210526315785,0.14246743612999507,0.15,0.5625,0.6709677419354839,0.24062408855516462
0.695906432748538,0.7482811306340718,0.3157894736842105,0.25220613686036225,0.2033898305084746,0.7058823529411765,0.6948051948051948,0.45620520739062104
0.7134502923976608,0.7814516129032258,0.3098591549295775,0.25165055799072084,0.2,0.6875,0.7161290322580646,0.3594356670271753
0.6140350877192983,0.5778225806451613,0.1951219512195122,0.07525963995362249,0.12121212121212122,0.5,0.6258064516129033,0.3305183030275596
0.8011695906432749,0.6548387096774193,0.26086956521739135,0.16857633925054027,0.2,0.375,0.8451612903225807,0.40371207546056714
0.8713450292397661,0.7189516129032258,0.38888888888888884,0.3204573828172688,0.35,0.4375,0.9161290322580645,0.6631546627675736
0.7602339181286549,0.6695951107715813,0.30508474576271183,0.21905321272026804,0.21428571428571427,0.5294117647058824,0.7857142857142857,0.5099200171184516
0.49707602339181284,0.6479838709677419,0.2181818181818182,0.12934374422348097,0.1276595744680851,0.75,0.47096774193548385,0.19995114027118108
0.6783625730994152,0.7838709677419355,0.3209876543209877,0.28618659878548924,0.2,0.8125,0.6645161290322581,0.27734156857066283
0.6666666666666666,0.7125,0.27848101265822783,0.21252315316172096,0.1746031746031746,0.6875,0.6645161290322581,0.28959722902347934
0.5380116959064327,0.6403225806451612,0.23300970873786406,0.15503109902642903,0.13793103448275862,0.75,0.5161290322580645,0.19658762414024544
0.8654970760233918,0.6917494270435447,0.34285714285714286,0.2681425328462069,0.3333333333333333,0.35294117647058826,0.922077922077922,0.685844824899695
0.8011695906432749,0.6205645161290322,0.26086956521739135,0.16857633925054027,0.2,0.375,0.8451612903225807,0.5279402054262247
0.8187134502923976,0.744758064516129,0.3404255319148936,0.2657943713419727,0.25806451612903225,0.5,0.8516129032258064,0.5399547403287108
