ACC,AUC,F-1,MCC,Prec,Sens,Spec,Thres
0.7076023391812866,0.7806451612903226,0.3055555555555555,0.24647192464324863,0.19642857142857142,0.6875,0.7096774193548387,0.00572524219751358
0.6432748538011696,0.6564516129032258,0.22784810126582278,0.12926666017053132,0.14285714285714285,0.5625,0.6516129032258065,0.008271105587482452
0.783625730994152,0.725,0.32727272727272727,0.2560801906922269,0.23076923076923078,0.5625,0.8064516129032258,0.10423533618450165
0.695906432748538,0.7471774193548387,0.2972972972972973,0.23638169457726532,0.1896551724137931,0.6875,0.6967741935483871,0.0955514907836914
0.7368421052631579,0.7349121466768526,0.3478260869565218,0.29019028509044054,0.23076923076923078,0.7058823529411765,0.7402597402597403,0.03395768254995346
0.8362573099415205,0.7104838709677419,0.36363636363636365,0.2919543514007959,0.2857142857142857,0.5,0.8709677419354839,0.05349725857377052
0.7543859649122807,0.6169354838709677,0.22222222222222218,0.11806816745380025,0.15789473684210525,0.375,0.7935483870967742,0.18777130544185638
0.8304093567251462,0.6786290322580646,0.3255813953488372,0.2463612883725894,0.25925925925925924,0.4375,0.8709677419354839,0.01146959699690342
0.7309941520467836,0.7608870967741935,0.3235294117647059,0.2677777544286172,0.21153846153846154,0.6875,0.7354838709677419,0.02498568594455719
0.6140350877192983,0.6741787624140565,0.24999999999999997,0.15633128621905582,0.15492957746478872,0.6470588235294118,0.6103896103896104,0.04966350644826889
0.8304093567251462,0.627016129032258,0.2926829268292683,0.2080664515353914,0.24,0.375,0.8774193548387097,0.31708046793937683
0.6491228070175439,0.7201612903225807,0.2857142857142857,0.23130132722007055,0.17647058823529413,0.75,0.6387096774193548,0.005337769631296396
0.6666666666666666,0.7701612903225807,0.29629629629629634,0.24481896700838132,0.18461538461538463,0.75,0.6580645161290323,0.07744192332029343
0.6842105263157895,0.7028225806451613,0.2702702702702703,0.19396693091229955,0.1724137931034483,0.625,0.6903225806451613,0.04487522318959236
0.8771929824561403,0.7165775401069518,0.3636363636363636,0.29591071022611876,0.375,0.35294117647058826,0.935064935064935,0.2195567488670349
0.6432748538011696,0.7141129032258065,0.26506024096385544,0.1946115493551247,0.16417910447761194,0.6875,0.6387096774193548,0.011430633254349232
0.695906432748538,0.8399193548387096,0.33333333333333337,0.3006928620547323,0.20967741935483872,0.8125,0.6838709677419355,0.005996969062834978
0.8596491228070176,0.6334677419354839,0.33333333333333326,0.2579736741949735,0.3,0.375,0.9096774193548387,0.023455169051885605
0.4853801169590643,0.572983870967742,0.19999999999999998,0.08898283133622686,0.11702127659574468,0.6875,0.4645161290322581,0.014109599404036999
0.672514619883041,0.774637127578304,0.3170731707317074,0.2632372659694654,0.2,0.7647058823529411,0.6623376623376623,0.05132540687918663
0.6549707602339181,0.7427419354838709,0.2891566265060241,0.23574699427444032,0.1791044776119403,0.75,0.6451612903225806,0.05797801539301872
0.8713450292397661,0.6358870967741935,0.35294117647058826,0.2823895058550827,0.3333333333333333,0.375,0.9225806451612903,0.04950670152902603
0.7426900584795322,0.6483870967741935,0.26666666666666666,0.17836680794052154,0.18181818181818182,0.5,0.7677419354838709,0.1296190768480301
0.631578947368421,0.7245967741935484,0.2588235294117647,0.18598184302991486,0.15942028985507245,0.6875,0.6258064516129033,0.03736281022429466
0.672514619883041,0.7773109243697479,0.33333333333333337,0.2938358852508069,0.208955223880597,0.8235294117647058,0.6558441558441559,0.012439602985978127
0.5964912280701754,0.755241935483871,0.288659793814433,0.25823359156705405,0.1728395061728395,0.875,0.567741935483871,0.006076687015593052
0.6608187134502924,0.7620967741935483,0.2926829268292683,0.2402519275442564,0.18181818181818182,0.75,0.6516129032258065,0.025881854817271233
0.7719298245614035,0.6782258064516129,0.29090909090909095,0.20822258128417137,0.20512820512820512,0.5,0.8,0.018554136157035828
0.7953216374269005,0.6048387096774194,0.22222222222222224,0.12235106270067583,0.1724137931034483,0.3125,0.8451612903225807,0.20956143736839294
0.7426900584795322,0.6168831168831169,0.2903225806451613,0.20089291019437377,0.2,0.5294117647058824,0.7662337662337663,0.010670793242752552
0.7543859649122807,0.7209677419354839,0.3,0.22430163347942092,0.20454545454545456,0.5625,0.7741935483870968,0.02372412569820881
0.6257309941520468,0.6540322580645161,0.2558139534883721,0.18173940817406756,0.15714285714285714,0.6875,0.6193548387096774,0.004838906694203615
0.6842105263157895,0.6802419354838709,0.2702702702702703,0.19396693091229955,0.1724137931034483,0.625,0.6903225806451613,0.05366902053356171
0.49707602339181284,0.7891129032258064,0.25862068965517243,0.2299705895503931,0.15,0.9375,0.45161290322580644,0.0014991543721407652
0.8596491228070176,0.6371275783040489,0.33333333333333337,0.2556653716805367,0.3157894736842105,0.35294117647058826,0.9155844155844156,0.0819534882903099
0.8128654970760234,0.7987903225806452,0.3846153846153846,0.32663978384008396,0.2777777777777778,0.625,0.832258064516129,0.026803739368915558
0.6374269005847953,0.6818548387096774,0.2619047619047619,0.19027173494348126,0.16176470588235295,0.6875,0.632258064516129,0.014048554003238678
0.7660818713450293,0.7241935483870967,0.31034482758620685,0.2365232057920493,0.21428571428571427,0.5625,0.7870967741935484,0.026538684964179993
0.7134502923976608,0.646774193548387,0.26865671641791045,0.18558238246965134,0.17647058823529413,0.5625,0.7290322580645161,0.021367879584431648
0.5789473684210527,0.7089381207028266,0.26530612244897955,0.1936519068598933,0.16049382716049382,0.7647058823529411,0.5584415584415584,0.006132079754024744
0.8421052631578947,0.734274193548387,0.37209302325581395,0.30143028224410934,0.2962962962962963,0.5,0.8774193548387097,0.1879369169473648
0.7192982456140351,0.7161290322580645,0.29411764705882354,0.2241266619526462,0.19230769230769232,0.625,0.7290322580645161,0.01407833956182003
